wrank/xrank,0,5,10,15,20,25,30,40,50,60,80,100
0,0.699543,0.707381,0.684520,0.694317,0.694317,0.691705,0.706728,0.694971,0.694317,0.700196,0.689092,0.704768
5,0.696930,0.705421,0.702155,0.702155,0.710647,0.699543,0.693664,0.700196,0.700849,0.691705,0.689745,0.699543
10,0.707381,0.709340,0.701502,0.704768,0.698890,0.706074,0.703462,0.700849,0.713912,0.706728,0.706728,0.704768
15,0.711953,0.714566,0.707381,0.721097,0.700196,0.715219,0.711300,0.704768,0.710647,0.706728,0.712606,0.699543
20,0.700849,0.704768,0.702809,0.695624,0.700196,0.696930,0.710647,0.696930,0.698890,0.697583,0.708687,0.693011
25,0.702809,0.715219,0.702809,0.704115,0.695624,0.697583,0.697583,0.698890,0.704768,0.694317,0.692358,0.708687
30,0.689745,0.700849,0.702809,0.701502,0.702155,0.702809,0.699543,0.696277,0.709993,0.698890,0.694971,0.705421
40,0.691705,0.696277,0.700849,0.690398,0.691705,0.704115,0.697583,0.698890,0.702809,0.700849,0.697583,0.697583
50,0.705421,0.701502,0.695624,0.700196,0.690398,0.688439,0.700196,0.691705,0.679948,0.704768,0.691705,0.691705
60,0.707381,0.704115,0.691705,0.701502,0.711953,0.704115,0.702155,0.704768,0.706728,0.713912,0.704768,0.703462
80,0.694317,0.698890,0.706074,0.697583,0.698890,0.700849,0.700849,0.701502,0.694971,0.694971,0.695624,0.696930
100,0.716525,0.704115,0.709993,0.712606,0.715219,0.708034,0.705421,0.711953,0.703462,0.709340,0.700196,0.695624
